Sample Size (n),Budget,Reach_CDE,CTR_CDE,Sparsity_CDE,Reach_CLasso,CTR_CLasso,Sparsity_CLasso
300,10.0,0.0676617429926859,0.0009447918006427747,3,1.0166467301342408e-06,5.5960527323151155e-09,500
300,35.78947368421053,0.19999999999999996,0.0087966437578062,8,3.638496194113827e-06,2.002779830867496e-08,500
300,61.578947368421055,0.19999999999999996,0.00879664377197753,8,6.260328273000049e-06,3.4459543440945595e-08,500
300,87.36842105263159,0.19999999999999996,0.008796643786149194,8,8.882142970234597e-06,4.8891288795260834e-08,500
300,113.15789473684211,0.19999999999999996,0.008796643800320636,8,1.1503940285040315e-05,6.332303392753147e-08,500
300,138.94736842105263,0.19999999999999996,0.008796643814491967,8,1.4125720217417204e-05,7.775477683935605e-08,500
300,164.73684210526318,0.19999999999999996,0.00879664382866352,8,1.674748276669913e-05,9.218651930709143e-08,500
300,190.5263157894737,0.19999999999999996,0.008796643842835183,8,1.936922793377427e-05,1.066182616638045e-07,500
300,216.31578947368422,0.19999999999999996,0.008796643857006403,8,2.1990955717199334e-05,1.2105000357642837e-07,500
300,242.10526315789474,0.19999999999999996,0.008796643871178067,8,2.4612666120304993e-05,1.354817444898515e-07,500
300,267.89473684210526,0.19999999999999996,0.00879664388534962,8,2.7234359141536935e-05,1.4991348462611853e-07,500
300,293.6842105263158,0.19999999999999996,0.00879664389952095,8,2.9856034780673113e-05,1.6434522565056398e-07,500
300,319.47368421052636,0.19999999999999996,0.008796643913692392,8,3.247769303882375e-05,1.7877696467660797e-07,500
300,345.2631578947369,0.19999999999999996,0.008796643927864056,8,3.509933391510067e-05,1.9320870248140665e-07,500
300,371.0526315789474,0.19999999999999996,0.008796643942035387,8,3.772095740928183e-05,2.0764044050824992e-07,500
300,396.8421052631579,0.19999999999999996,0.008796643956206718,8,4.034256352314358e-05,2.2207217786895939e-07,500
300,422.63157894736844,0.19999999999999996,0.008796643970378493,8,4.2964152256574906e-05,2.3650391400842352e-07,500
300,448.42105263157896,0.19999999999999996,0.008796643984550045,8,4.5585723608243534e-05,2.509356512581107e-07,500
300,474.2105263157895,0.19999999999999996,0.008796643998721487,8,4.820727758014787e-05,2.653673869534856e-07,500
300,500.0,0.19999999999999996,0.008796644012892929,8,5.082881417040053e-05,2.797991208725037e-07,500
946,10.0,0.005928124931729228,3.8870934517931666e-05,3,8.21623140412342e-07,4.188367319635233e-09,500
946,35.78947368421053,0.48432564196433425,0.06886961630660027,31,2.9405256574133176e-06,1.4989855356972726e-08,500
946,61.578947368421055,0.4843256418809706,0.06886961630917532,31,5.059413382801914e-06,2.5791342506131798e-08,500
946,87.36842105263159,0.48432564179760695,0.06886961631175004,31,7.1782863161340416e-06,3.6592829877335475e-08,500
946,113.15789473684211,0.4843256417142434,0.06886961631432498,31,9.297144457520723e-06,4.7394318247739875e-08,500
946,138.94736842105263,0.4843256416308799,0.06886961631690003,31,1.1415987808072181e-05,5.8195803953609015e-08,500
946,164.73684210526318,0.48432564154751623,0.06886961631947486,31,1.3534816365678992e-05,6.899728988152276e-08,500
946,190.5263157894737,0.4843256414641526,0.06886961632204969,31,1.5653630134115915e-05,7.97987753653473e-08,500
946,216.31578947368422,0.48432564138078893,0.06886961632462474,31,1.7772429110829435e-05,9.060026040508262e-08,500
946,242.10526315789474,0.4843256412974253,0.06886961632719957,31,1.9891213297262844e-05,1.0140174622197407e-07,500
946,267.89473684210526,0.48432564121406163,0.06886961632977462,31,2.2009982693083074e-05,1.1220322992944176e-07,500
946,293.6842105263158,0.484325641130698,0.06886961633234945,31,2.412873729695786e-05,1.230047151912217e-07,500
946,319.47368421052636,0.48432564104733433,0.0688696163349245,31,2.624747711155173e-05,1.338061990097117e-07,500
946,345.2631578947369,0.4843256409639707,0.06886961633749933,31,2.836620213664265e-05,1.4460768238411248e-07,500
946,371.0526315789474,0.48432564088060714,0.06886961634007427,31,3.0484912371453454e-05,1.5540916487033485e-07,500
946,396.8421052631579,0.4843256407972435,0.06886961634264921,31,3.2603607815873126e-05,1.6621064802269103e-07,500
946,422.63157894736844,0.48432564071387985,0.06886961634522415,31,3.472228847201109e-05,1.7701212962073498e-07,500
946,448.42105263157896,0.4843256406305162,0.06886961634779909,31,3.68409543362036e-05,1.8781361277309117e-07,500
946,474.2105263157895,0.48432564054715255,0.06886961635037392,31,3.895960541278054e-05,1.986150942601128e-07,500
946,500.0,0.4843256404637889,0.06886961635294886,31,4.107824170052066e-05,2.0941657496997834e-07,500
1250,10.0,0.07396933090687963,0.0017676730227628168,6,9.071490743028932e-07,4.83157647224175e-09,500
1250,35.78947368421053,0.0739693874406473,0.001767674487847537,6,3.246613118124131e-06,1.7291861054147262e-08,500
1250,61.578947368421055,0.07396944397432348,0.0017676759529324793,6,5.586051825656746e-06,2.975214408174054e-08,500
1250,87.36842105263159,0.07396950050790829,0.0017676774180169774,6,7.925465196900738e-06,4.2212427442400724e-08,500
