Sample Size (n),Budget,Reach_CDE,CTR_CDE,Sparsity_CDE,Reach_CLasso,CTR_CLasso,Sparsity_CLasso
300,10.0,0.0676617429926859,0.0009447918006427747,3,1.5067391817558118e-06,1.0759503621393662e-08,500
300,35.78947368421053,0.19999999999999996,0.0087966437578062,8,5.736733956096529e-06,4.213448179246626e-08,500
300,61.578947368421055,0.19999999999999996,0.00879664377197753,8,9.667354894160596e-06,7.035590654513868e-08,500
300,87.36842105263159,0.19999999999999996,0.008796643786149194,8,1.2289147985122817e-05,8.478764390584814e-08,500
300,113.15789473684211,0.19999999999999996,0.008796643800320636,8,1.4910923695099498e-05,9.921938037837919e-08,500
300,138.94736842105263,0.19999999999999996,0.008796643814491967,8,1.7532682022425305e-05,1.1365111596273181e-07,500
300,164.73684210526318,0.19999999999999996,0.00879664382866352,8,2.0154422966323082e-05,1.28082850658906e-07,500
300,190.5263157894737,0.19999999999999996,0.008796643842835183,8,2.2776146528569186e-05,1.425145846889464e-07,500
300,216.31578947368422,0.19999999999999996,0.008796643857006403,8,2.5397852708719526e-05,1.5694631860796449e-07,500
300,242.10526315789474,0.19999999999999996,0.008796643871178067,8,2.801954150899455e-05,1.7137805108369264e-07,500
300,267.89473684210526,0.19999999999999996,0.00879664388534962,8,3.06412129236211e-05,1.8580978511373303e-07,500
300,293.6842105263158,0.19999999999999996,0.00879664389952095,8,3.326286695937153e-05,2.0024151603514895e-07,500
300,319.47368421052636,0.19999999999999996,0.008796643913692392,8,3.588450361513562e-05,2.1467324728963177e-07,500
300,345.2631578947369,0.19999999999999996,0.008796643927864056,8,3.850612288924804e-05,2.2910497732286927e-07,500
300,371.0526315789474,0.19999999999999996,0.008796643942035387,8,4.112772477948834e-05,2.435367076891737e-07,500
300,396.8421052631579,0.19999999999999996,0.008796643956206718,8,4.3749309289520255e-05,2.5796843694525506e-07,500
300,422.63157894736844,0.19999999999999996,0.008796643970378493,8,4.63708764208981e-05,2.7240016597929184e-07,500
300,448.42105263157896,0.19999999999999996,0.008796643984550045,8,4.899242616873689e-05,2.86831894791284e-07,500
300,474.2105263157895,0.19999999999999996,0.008796643998721487,8,5.161395853781059e-05,3.0126362160487474e-07,500
300,500.0,0.19999999999999996,0.008796644012892929,8,5.423547352734204e-05,3.156953487515324e-07,500
1250,10.0,0.07396933090687963,0.0017676730227628168,6,1.1419911774002145e-06,7.602220741809163e-09,500
1250,35.78947368421053,0.0739693874406473,0.001767674487847537,6,4.252050057385048e-06,2.915402519398924e-08,500
1250,61.578947368421055,0.07396944397432348,0.0017676759529324793,6,7.218645620699071e-06,4.901366157383791e-08,500
1250,87.36842105263159,0.07396950050790829,0.0017676774180169774,6,9.558061772829696e-06,6.147394182587362e-08,500
1250,113.15789473684211,0.07396955704140185,0.0017676788831018087,6,1.1897452589892943e-05,7.393422107870862e-08,500
1250,138.94736842105263,0.0739696135748037,0.0017676803481861958,6,1.4236818069113255e-05,8.639449922132059e-08,500
1250,164.73684210526318,0.07396967010811428,0.001767681813270694,6,1.657615821615277e-05,9.885477703086565e-08,500
1250,190.5263157894737,0.07396972664133339,0.0017676832783551921,6,1.8915473028457974e-05,1.1131505506245531e-07,500
1250,216.31578947368422,0.07396978317446135,0.0017676847434395793,6,2.125476250902647e-05,1.2377533120666584e-07,500
1250,242.10526315789474,0.0739698397074976,0.0017676862085238554,6,2.3594026657081102e-05,1.3623560546349722e-07,500
1250,267.89473684210526,0.07396989624044248,0.0017676876736081315,6,2.5933265470623468e-05,1.486958799423732e-07,500
1250,293.6842105263158,0.07396995277329621,0.0017676891386925186,6,2.8272478955759794e-05,1.6115615375511538e-07,500
1250,319.47368421052636,0.07397000930605824,0.0017676906037764617,6,3.061166711193497e-05,1.7361642645763453e-07,500
1250,345.2631578947369,0.073970065838729,0.0017676920688607378,6,3.295082993737264e-05,1.8607669816095296e-07,500
1250,371.0526315789474,0.0739701223713084,0.001767693533944792,6,3.528996743495938e-05,1.9853697141858362e-07,500
1250,396.8421052631579,0.07397017890379631,0.001767694999028735,6,3.762907960347395e-05,2.109972410124783e-07,500
1250,422.63157894736844,0.07397023543619297,0.001767696464112678,6,3.9968166446469056e-05,2.2345751071739528e-07,500
1250,448.42105263157896,0.07397029196849791,0.001767697929196621,6,4.2307227963056526e-05,2.3591777975617845e-07,500
1250,474.2105263157895,0.07397034850071171,0.001767699394280231,6,4.464626415412454e-05,2.48378047462694e-07,500
1250,500.0,0.07397040503283403,0.001767700859364174,6,4.6985275020894335e-05,2.608383148361426e-07,500
